CMDLINE /Library/Frameworks/Python.framework/Versions/3.7/bin/python3.7 a3c.py
MEM 0.156250 1589367217.1689
MEM 15.277344 1589367217.2784
MEM 25.871094 1589367217.3899
MEM 42.007812 1589367217.4992
MEM 45.757812 1589367217.6103
MEM 45.757812 1589367217.7166
MEM 45.757812 1589367217.8254
MEM 45.757812 1589367217.9386
MEM 45.785156 1589367218.0499
MEM 50.644531 1589367218.1622
MEM 65.425781 1589367218.2707
MEM 92.652344 1589367218.3781
MEM 103.953125 1589367218.4893
MEM 117.589844 1589367218.6021
MEM 214.523438 1589367218.7151
MEM 248.121094 1589367218.8357
MEM 251.828125 1589367218.9504
MEM 254.148438 1589367219.0651
MEM 256.570312 1589367219.1813
MEM 257.621094 1589367219.2942
MEM 259.542969 1589367219.4113
MEM 260.871094 1589367219.5267
MEM 264.953125 1589367219.6407
MEM 265.429688 1589367219.7531
MEM 266.765625 1589367219.8696
MEM 267.285156 1589367219.9852
MEM 268.542969 1589367220.1002
MEM 268.644531 1589367220.2128
MEM 270.312500 1589367220.3263
MEM 270.691406 1589367220.4423
MEM 270.917969 1589367220.5555
MEM 270.953125 1589367220.6719
MEM 271.089844 1589367220.7856
MEM 271.281250 1589367220.9001
MEM 272.097656 1589367221.0177
MEM 272.953125 1589367221.1332
MEM 273.566406 1589367221.2458
MEM 274.167969 1589367221.3606
MEM 274.214844 1589367221.4762
MEM 274.597656 1589367221.5890
MEM 274.839844 1589367221.7057
MEM 274.957031 1589367221.8227
MEM 275.031250 1589367221.9367
MEM 275.121094 1589367222.0528
MEM 275.125000 1589367222.1673
MEM 275.257812 1589367222.2802
MEM 275.675781 1589367222.3940
MEM 275.750000 1589367222.5059
MEM 275.828125 1589367222.6214
MEM 276.101562 1589367222.7341
MEM 276.187500 1589367222.8504
MEM 276.843750 1589367222.9647
MEM 277.074219 1589367223.0765
MEM 277.160156 1589367223.1931
MEM 277.589844 1589367223.3053
MEM 277.769531 1589367223.4180
MEM 277.988281 1589367223.5330
MEM 278.031250 1589367223.6467
MEM 278.265625 1589367223.7595
MEM 278.460938 1589367223.8725
MEM 278.601562 1589367223.9860
MEM 278.839844 1589367224.0989
MEM 279.179688 1589367224.2159
MEM 279.273438 1589367224.3308
MEM 279.347656 1589367224.4445
MEM 280.425781 1589367224.5572
MEM 280.464844 1589367224.6704
MEM 280.472656 1589367224.7876
MEM 280.273438 1589367224.9051
MEM 280.425781 1589367225.0166
MEM 280.429688 1589367225.1294
MEM 280.808594 1589367225.2464
MEM 281.054688 1589367225.3575
MEM 281.066406 1589367225.4706
MEM 281.546875 1589367225.5849
MEM 281.562500 1589367225.7014
MEM 281.566406 1589367225.8158
MEM 281.679688 1589367225.9282
MEM 281.718750 1589367226.0428
MEM 281.761719 1589367226.1558
MEM 281.820312 1589367226.2716
MEM 282.316406 1589367226.3848
MEM 282.558594 1589367226.5000
MEM 282.761719 1589367226.6166
MEM 283.984375 1589367226.7285
MEM 283.988281 1589367226.8412
MEM 284.042969 1589367226.9551
MEM 284.042969 1589367227.0695
MEM 284.156250 1589367227.1857
MEM 284.156250 1589367227.2977
MEM 284.316406 1589367227.4110
MEM 284.390625 1589367227.5252
MEM 284.417969 1589367227.6392
MEM 284.781250 1589367227.7561
MEM 284.691406 1589367227.8710
MEM 122.445312 1589367227.9845
